id,name,code,level,qualification_group,education_level,skill_level,date_from,active,parent_id,doo_emp_param_id,doo_er_param_id,ppf_param_id,tzbp_param_id,tzbp_param_value_code,ppf_param_value_code
bg_ncop_52,Продавачи,52,sub_major_group,service,secondary,2,2025-01-01,TRUE,bg_ncop_5,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_SRV,
bg_ncop_53,Персонал полагащ грижи за хора,53,sub_major_group,service,secondary,2,2025-01-01,TRUE,bg_ncop_5,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_SRV,
bg_ncop_54,Персонал осигуряващ защита и сигурност,54,sub_major_group,service,secondary,2,2025-01-01,TRUE,bg_ncop_5,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_SRV,
bg_ncop_61,Квалифицирани работници в селското стопанство произвеждащи за пазара,61,sub_major_group,skilled,primary,2,2025-01-01,TRUE,bg_ncop_6,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_62,Квалифицирани работници в горското рибното и ловното стопанство произвеждащи за пазара,62,sub_major_group,skilled,primary,2,2025-01-01,TRUE,bg_ncop_6,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_63,Селскостопански работници риболовци и ловци произвеждащи за собствено потребление,63,sub_major_group,skilled,primary,1,2025-01-01,TRUE,bg_ncop_6,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_71,Строителни работници и сродни на тях без електротехници,71,sub_major_group,skilled,secondary,2,2025-01-01,TRUE,bg_ncop_7,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_72,Металурзи машиностроители и сродни на тях работници и занаятчии,72,sub_major_group,skilled,secondary,2,2025-01-01,TRUE,bg_ncop_7,rule_param_bg_doo_emp_rate_first_second,rule_param_bg_doo_er_rate_first_second,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT2_MID,
bg_ncop_73,Занаятчии и печатари,73,sub_major_group,skilled,secondary,2,2025-01-01,TRUE,bg_ncop_7,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_74,Работници по инсталиране и ремонт на електрически и електронни съоръжения,74,sub_major_group,skilled,secondary,2,2025-01-01,TRUE,bg_ncop_7,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_75,Работници по производство на храни облекло дървени изделия и сродни на тях,75,sub_major_group,skilled,secondary,2,2025-01-01,TRUE,bg_ncop_7,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_81,Оператори на стационарни машини и съоръжения,81,sub_major_group,operator,secondary,2,2025-01-01,TRUE,bg_ncop_8,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_82,Монтажници,82,sub_major_group,operator,secondary,2,2025-01-01,TRUE,bg_ncop_8,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_PROD,
bg_ncop_83,Водачи на моторни превозни средства и оператори на подвижни съоръжения,83,sub_major_group,operator,secondary,2,2025-01-01,TRUE,bg_ncop_8,rule_param_bg_doo_emp_rate_first_second,rule_param_bg_doo_er_rate_first_second,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT2_MID,
bg_ncop_91,Чистачи и помощници,91,sub_major_group,elementary,primary,1,2025-01-01,TRUE,bg_ncop_9,rule_param_bg_doo_emp_rate_third,rule_param_bg_doo_er_rate_third,rule_param_value_bg_ppf_combined_rates,rule_param_bg_tzbp_combined_rates,CAT3_SRV,
