code;description;unit_id
01012100;Коне, расови за разплод;intrastat_unit_pce
01012910;Коне, предназначени за клане;intrastat_unit_pce
01012990;Живи коне (с изключение на расовите за разплод и предназначените за клане);intrastat_unit_pce
01013000;Живи магарета ;intrastat_unit_pce
01019000;Живи мулета и катъри;intrastat_unit_pce
01022110;Юници (женски говеда, които никога не са се отелвали), расови за разплод;intrastat_unit_pce
01022130;Крави, расови за разплод (с изключение на юниците);intrastat_unit_pce
01022190;Домашни животни от рода на едрия рогат добитък (cattle), расови за разплод (с изключение на крави и юници);intrastat_unit_pce
01022905;Живи домашни животни от рода на едрия рогат добитък (cattle), от подрода Bibos или от подрода Poephagus (с изключение на расовите за разплод) ;intrastat_unit_pce
01022910;Живи домашни животни от рода на едрия рогат добитък (cattle), с тегло непревишаващо 80 kg (с изключение на расовите за разплод);intrastat_unit_pce
01022921;Живи домашни животни от рода на едрия рогат добитък (cattle), с тегло превишаващо 80 kg, но непревишаващо 160 kg, предназначени за клане ;intrastat_unit_pce
01022929;Живи домашни животни от рода на едрия рогат добитък (cattle), с тегло превишаващо 80 kg, но непревишаващо 160 kg (с изключение на расовите за разплод и предназначените за клане) ;intrastat_unit_pce
01022941;Живи домашни животни от рода на едрия рогат добитък (cattle), с тегло превишаващо 160 kg, но непревишаващо 300 kg, предназначени за клане ;intrastat_unit_pce
01022949;Живи домашни животни от рода на едрия рогат добитък (cattle), с тегло превишаващо 160 kg, но непревишаващо 300 kg (с изключение на расовите за разплод и предназначените за клане);intrastat_unit_pce
01022951;Живи юници (женски говеда, които никога не са се отелвали), с тегло превишаващо 300 kg, предназначени за клане ;intrastat_unit_pce
01022959;Живи юници (женски говеда, които никога не са се отелвали), с тегло превишаващо 300 kg (с изключение на расовите за разплод и предназначените за клане);intrastat_unit_pce
01022961;Живи крави, с тегло превишаващо 300 kg, предназначени за клане (с изключение на юниците);intrastat_unit_pce
01022969;Живи крави, с тегло превишаващо 300 kg (с изключение на юниците, на расовите за разплод и предназначените за клане);intrastat_unit_pce
01022991;Живи домашни животни от рода на едрия рогат добитък (cattle), с тегло превишаващо 300 kg, предназначени за клане (с изключение на юници и крави);intrastat_unit_pce
01022999;Живи домашни животни от рода на едрия рогат добитък (cattle), с тегло превишаващо 300 kg (с изключение на юници и крави, на расовите за разплод и предназначените за клане);intrastat_unit_pce
01023100;Биволи, расови за разплод;intrastat_unit_pce
01023910;Биволи, домашни видове (с изключение на расовите за разплод) ;intrastat_unit_pce
01023990;Биволи (с изключение на расовите за разплод и домашните видове) ;intrastat_unit_pce
01029020;Живи животни от рода на едрия рогат добитък, расови за разплод (с изключение на домашни животни от рода на едрия рогат добитък (cattle) и биволи (buffalo));intrastat_unit_pce
01029091;Живи животни от рода на едрия рогат добитък, домашни видове (с изключение на домашни животни от рода на едрия рогат добитък (cattle) и биволи (buffalo) и на расовите за разплод);intrastat_unit_pce
01029099;Живи животни от рода на едрия рогат добитък (с изключение на домашни животни от рода на едрия рогат добитък (cattle) и биволи (buffalo), на расовите за разплод и на домашните видове);intrastat_unit_pce
01031000;Живи животни от рода на свинете, расови за разплод;intrastat_unit_pce
01039110;Живи свине, домашни видове, с тегло по-малко от 50 kg (с изключение на расовите за разплод);intrastat_unit_pce
01039190;Живи животни от рода на cвинете, с тегло по-малко от 50 kg (с изключение на домашните видове);intrastat_unit_pce
01039211;Живи женски свине, домашни видове, които са се опрасили поне един път, с минимално тегло 160 kg (с изключение на расовите за разплод);intrastat_unit_pce
01039219;Живи свине, домашни видове, с тегло равно или по-голямо от 50 kg (с изключение на женските свине, които са се опрасили поне един път, с минимално тегло 160 kg и расовите за разплод);intrastat_unit_pce
01039290;Живи животни от рода на cвинете, с тегло равно или по-голямо от 50 kg (с изключение на домашните видове);intrastat_unit_pce
01041010;Животни от рода на овцете, расови за разплод;intrastat_unit_pce
01041030;Живи агнета (на възраст до 1 година) (с изключение на расовите за разплод);intrastat_unit_pce
01041080;Животни от рода на овцете (с изключение на агнетата и расовите за разплод);intrastat_unit_pce
01042010;Животни от рода на козите, расови за разплод;intrastat_unit_pce
01042090;Живи животни от рода на козите (с изключение на расовите за разплод);intrastat_unit_pce
01051111;Родителски и прародителски женски пилета, с тегло непревишаващо 185 g, с яйценосно направление;intrastat_unit_pce
01051119;Родителски и прародителски женски пилета, с тегло непревишаващо 185 g (с изключение на пилета с яйценосно направление);intrastat_unit_pce
01051191;Домашни кокошки, с яйценосно направление, с тегло непревишаващо 185 g (с изключение на родителски и прародителски женски пилета);intrastat_unit_pce
